Common,Royal,Monk
ពេលនោះស្ដេចភុជង្គនាគនឹងចេញមករៀបចំទឹកដីជូនគាត់,ពេលនោះស្ដេចភុជង្គនាគនឹងចេញមករៀបចំទឹកដីថ្វាយព្រះអង្គ,ពេលនោះស្ដេចភុជង្គនាគនឹងចេញមករៀបចំទឹកដីថ្វាយព្រះតេជគុណ
គាត់នឹងដាក់ឈ្មោះនគរគោកធ្លកជាកម្ពុជាធិបតីដែលប្រទេសដទៃទៀតដាក់ឈ្មោះហៅថាស្រុកខ្មែរ,ព្រះអង្គនឹងដាក់ឈ្មោះនគរគោកធ្លកជាកម្ពុជាធិបតីដែលនគរដទៃទៀតដាក់ឈ្មោះហៅថាស្រុកខ្មែរ,ព្រះតេជគុណនឹងដាក់ឈ្មោះនគរគោកធ្លកជាកម្ពុជាធិបតីដែលនគរដទៃទៀតដាក់ឈ្មោះហៅថាស្រុកខ្មែរ
ព្រះឥន្ទ្រក៏នឹងបញ្ជាឱ្យព្រះវិស្សកម្មចុះមកកសាងប្រាសាទធំល្អស្អាតណាស់ជាច្រើនទៀតដែរ។,ព្រះឥន្រ្ទាធិរាជវិញក៏នឹងបញ្ជាអោយព្រះវិស្សកម្មទេវបុត្រចុះមកកសាងប្រាង្គប្រាសាទធំល្អល្អះជាច្រើនទៀតដែរ,ព្រះឥន្រ្ទាធិរាជវិញក៏នឹងបញ្ជាអោយព្រះវិស្សកម្មទេវបុត្រចុះមកកសាងប្រាង្គប្រាសាទធំល្អល្អះជាច្រើនទៀតដែរ
ស្ដេចអទិច្ចវង្សាក៏បានប្រាប់អោយកូនប្រុសពៅចេញធ្វើជាតំណាងទៅទទួលភ្ញៀវជំនួសគាត់។,ព្រះអទិច្ចវង្សាក៏បានបង្គាប់អោយបុត្រពៅចេញធ្វើជាព្រះរាជតំណាងទៅទទួលភ្ញៀវជំនួសព្រះអង្គ,ព្រះអទិច្ចវង្សាក៏បានបង្គាប់អោយបុត្រពៅចេញធ្វើជាព្រះរាជតំណាងទៅទទួលភ្ញៀវជំនួសព្រះតេជគុណ
គាត់មានកូនប្រុស៥នាក់។កូនប្រុសទី១ត្រូវបានគាត់ចាត់ឲ្យកាន់កាប់តំបន់ទិសខាងកើត។,ព្រះអង្គមានកូនប្រុស៥អង្គបុត្រទី១ត្រូវបានព្រះអង្គតំរូវអោយកាន់កាប់ខេត្ដខ័ណ្ឌផ្នែកទិសខាងកើត,ព្រះតេជគុណមានកូនប្រុស៥អង្គបុត្រទី១ត្រូវបានព្រះតេជគុណតំរូវអោយកាន់កាប់ខេត្ដខ័ណ្ឌផ្នែកទិសខាងកើត
ប្រវត្ដិព្រះថោងកាលនោះនៅនគរឥន្ទព័ទ្ធមានស្ដេចម្នាក់ឈ្មោះអទិច្ចវង្សគ្រប់គ្រងនគរ។,ប្រវត្ដិព្រះថោងកាលនោះនៅនគរឥន្ទព័ទ្ធមានស្ដេចមួយព្រះអង្គព្រះនាមអទិច្ចវង្សសោយរាជ្យសម្បត្ដិ,ប្រវត្ដិព្រះថោងកាលនោះនៅនគរឥន្ទព័ទ្ធមានស្ដេចមួយព្រះតេជគុណព្រះនាមអទិច្ចវង្សសោយរាជ្យសម្បត្ដិ
កូនប្រុសទី២តំបន់ទិសខាងជើង។កូនប្រុសទី៣តំបន់ខាងលិច។ហើយកូនប្រុសទី៤ព្រះថោងត្រូវទទួលបន្ទុកតំបន់ទិសខាងត្បូង។,បុត្រទី២ខេត្ដខ័ណ្ឌទិសខាងជើងបុត្រទី៣ខេត្ដខណ្ឌខាងលិចហើយបុត្រទី៤ព្រះថោងត្រូវទទួលបន្ទុកខេត្ដខ័ណ្ឌទិសខាងត្បូង,បុត្រទី២ខេត្ដខ័ណ្ឌទិសខាងជើងបុត្រទី៣ខេត្ដខណ្ឌខាងលិចហើយបុត្រទី៤ព្រះថោងត្រូវទទួលបន្ទុកខេត្ដខ័ណ្ឌទិសខាងត្បូង
ចំណែកកូនទី៥ដែលនៅក្មេងជាងគេគាត់បានទុកដាក់អោយនៅជាប់ជាមួយនឹងគាត់ក្នុងព្រះរាជវាំង,ចំណែកបុត្រទី៥ដែលនៅក្មេងជាងគេព្រះអង្គបានទុកដាក់អោយគង់នៅជាប់ជាមួយនឹងព្រះអង្គក្នុងបរមរាជរាំង,ចំណែកបុត្រទី៥ដែលនៅក្មេងជាងគេព្រះតេជគុណបានទុកដាក់អោយគង់នៅជាប់ជាមួយនឹងព្រះតេជគុណក្នុងបរមរាជរាំង
ឆ្នាំមួយដោយសារគាត់ឈឺហើយពេលនោះចំពេលពិធីបុណ្យប្រចាំឆ្នាំដែលស្ដេចត្រូវទទួលស្ដេចចំណុះនិងមន្ត្រីធំៗពីគ្រប់ទិសទី,ឆ្នាំមួយដោយមានជំងឺព្យាធិហើយពេលវេលាកាលទេសត្រូវជាន់ចំនឹងពិធីបុណ្យប្រចាំឆ្នាំដែលព្រះរាជាត្រូវតែទទួលស្ដេចនគរចំណុះនាម៉ឺនសព្វមុខមន្ដ្រីមកពីគ្រប់ទិសទី,ឆ្នាំមួយដោយមានជំងឺព្យាធិហើយពេលវេលាកាលទេសត្រូវជាន់ចំនឹងពិធីបុណ្យប្រចាំឆ្នាំដែលព្រះរាជាត្រូវតែទទួលស្ដេចនគរចំណុះនាម៉ឺនសព្វមុខមន្ដ្រីមកពីគ្រប់ទិសទី
គ្រប់គ្នារួមទាំងបងប្រុសទាំងបីរបស់គាត់ដែលជាស្ដេចបានគោរពកូនប្រុសពៅដែលតំណាងស្ដេចតាមប្រពៃណី។,គ្រប់ៗគ្នាមានទាំងស្ដេចបងព្រះអង្គទាំង៣អង្គបានក្រាបថ្វាយបង្គំបុត្រពៅតំណាងព្រះរាជាតាមរបៀបរបបប្រពៃណី,គ្រប់ៗគ្នាមានទាំងស្ដេចបងព្រះតេជគុណទាំង៣អង្គបានក្រាបថ្វាយបង្គំបុត្រពៅតំណាងព្រះរាជាតាមរបៀបរបបប្រពៃណី
